Sentence,Word,TruthNER
1,Teacher,O
1,asked,O
1,me,O
1,to,O
1,take,O
1,off,O
1,salwar,O
1,after,O
1,allegations,O
1,of,O
1,stealing,O
1,money,O
1,.,O
2,BHOPAL,LOCATION
2,:,O
2,In,O
2,a,O
2,shameful,O
2,incident,O
2,in,O
2,a,O
2,government,O
2,school,O
2,of,O
2,Damoh,LOCATION
2,",",O
2,a,O
2,dalit,O
2,school,O
2,girl,O
2,was,O
2,made,O
2,to,O
2,undress,O
2,after,O
2,a,O
2,student,O
2,levelled,O
2,allegations,O
2,of,O
2,stealing,O
2,Rs,O
2,70,O
2,on,O
2,November,O
2,2,O
2,.,O
3,However,O
3,",",O
3,the,O
3,incident,O
3,came,O
3,to,O
3,light,O
3,when,O
3,the,O
3,education,O
3,department,O
3,set,O
3,up,O
3,a,O
3,committee,O
3,of,O
3,principals,O
3,on,O
3,Saturday,O
3,to,O
3,look,O
3,into,O
3,the,O
3,allegations,O
3,after,O
3,the,O
3,parents,O
3,protested,O
3,for,O
3,alleged,O
3,disrobing,O
3,of,O
3,their,O
3,daughter,O
3,.,O
4,The,O
4,district,O
4,education,O
4,officer,O
4,(,O
4,DEO,O
4,),O
4,PP,PERSON
4,Singh,PERSON
4,admitted,O
4,the,O
4,incident,O
4,and,O
4,said,O
4,an,O
4,inquiry,O
4,has,O
4,been,O
4,ordered,O
4,and,O
4,action,O
4,will,O
4,be,O
4,initiated,O
4,against,O
4,the,O
4,teacher,O
4,",",O
4,Jyoti,PERSON
4,Gupta,PERSON
4,",",O
4,if,O
4,she,O
4,is,O
4,found,O
4,involved,O
4,in,O
4,the,O
4,incident,O
4,.,O
5,The,O
5,agitating,O
5,parents,O
5,also,O
5,reached,O
5,school,O
5,to,O
5,protest,O
5,against,O
5,the,O
5,alleged,O
5,disrobing,O
5,of,O
5,their,O
5,daughter,O
5,.,O
6,On,O
6,Thursday,O
6,night,O
6,",",O
6,a,O
6,class,O
6,10,O
6,student,O
6,of,O
6,Rani,PERSON
6,Durgawati,PERSON
6,government,O
6,girls,O
6,high,O
6,school,O
6,of,O
6,Damoh,LOCATION
6,",",O
6,told,O
6,her,O
6,parents,O
6,that,O
6,her,O
6,class,O
6,teacher,O
6,asked,O
6,her,O
6,to,O
6,take,O
6,off,O
6,her,O
6,salwar,O
6,to,O
6,check,O
6,whether,O
6,she,O
6,had,O
6,stolen,O
6,an,O
6,amount,O
6,of,O
6,Rs,O
6,70,O
6,.,O
7,The,O
7,student,O
7,said,O
7,that,O
7,another,O
7,student,O
7,had,O
7,lost,O
7,the,O
7,money,O
7,and,O
7,alleged,O
7,that,O
7,she,O
7,had,O
7,stolen,O
7,it,O
7,.,O
8,First,O
8,the,O
8,teacher,O
8,frisked,O
8,her,O
8,and,O
8,later,O
8,she,O
8,asked,O
8,me,O
8,to,O
8,take,O
8,off,O
8,my,O
8,salwar,O
8,",",O
8,she,O
8,told,O
8,her,O
8,parents,O
8,.,O
9,The,O
9,teacher,O
9,also,O
9,threatened,O
9,me,O
9,to,O
9,call,O
9,a,O
9,tantric,O
9,(,O
9,sorcerer,O
9,),O
9,to,O
9,find,O
9,out,O
