Document_Number,Content,date
1,"Teacher asked me to take off salwar after allegations of stealing money. BHOPAL: In a shameful incident in a government school of Damoh, a dalit school girl was made to undress after a student levelled allegations of stealing Rs 70 on November 2. However, the incident came to light when the education department set up a committee of principals on Saturday to look into the allegations after the parents protested for alleged disrobing of their daughter.The district education officer (DEO) PP Singh admitted the incident and said an inquiry has been ordered and action will be initiated against the teacher, Jyoti Gupta ,if she is found involved in the incident.The agitating parents also reached school to protest against the alleged disrobing of their daughter .On Thursday night, a class 10 student of Rani Durgawati government girls high school of Damoh, told her parents that her class teacher asked her to take off her salwar to check whether she had stolen an amount of Rs 70. The student said that another student had lost the money and alleged that she had stolen it.“First the teacher frisked her and later she asked me to take off my salwar”, she told her parents. The teacher also threatened me to call a tantric (sorcerer) to find out the truth, she added.The minor girl was so upset that she did not take dinner that night, her father said.Her father, a labourer, was angry and so was her mother. They decided to meet the school administration on the next day.On Friday, when they met the principal Rita Asati , she denied any such incident.On Saturday girl told local media, “After a student said she had lost Rs 70/-, the teacher checked the school bags. She also said she would call a sorcerer to find out the truth. I said Ok call him, If I have stolen the money, he would get it. Later she asked me to take off my salwar.”In fact, she said, two girls were asked to undress in front of the students.Girl’s parents did not file any police complaint.The DEO told TOI, “I have sought explanation from the principal. A team of women principals of government schools of Damoh will hold inquiry from Monday.”",4/11/2017
2,"Uddhav Thackeray and Mamata Banerjee meet, GST and demonetisation on table. Shiv Sena president Uddhav Thackeray on Thursday held an hour-long meeting with Chief Minister Mamata Banerjee and the BJP governments economic policies such as GST and demonetisation are believed to have come up.The development is being seen as a meeting of regional parties to form a pressure group against the BJP before the 2019 general elections.Thackeray said his meeting was a courtesy call. There are areas of common concern on policy issues. We were the first ones to voice our protest against the GST and demonetisation. So has Trinamool Congress expressed concerns over these issues, he said, adding that meeting should not be perceived as political ploy against the BJP.We also discussed on taking ahead the proposal for Kolkata and Mumbai municipal corporations on the concept of sister cities, he said.A close aide of Mamata said: The discussions veered around the Modi governments economic policies, which have generated unrest among people. The aide mentioned GST, demonetisation as the issues that were discussed.During the meeting, Thackeray reportedly highlighted his partys protests against the BJP government in Maharashtra. The aide said Mamata was the first leader in the country to protest against economic reforms of the Centre by tweeting against demonetisation and GST. The Shiv Sena and TMC, despite huge ideological differences, have resumed a dialogue as they perceive the BJP to be their main political rival in the 2019 elections, a source in Bengal said.The TMC is alarmed at the BJPs attempts to make inroads in West Bengal. The resignation of Trinamool Congress (MP) Mukul Roy is perceived as a handiwork of the BJP, a political observer said. In Maharashtra, on the other hand, the Sena fears that the BJP, by allowing Narayan Ranes Maharashtra Swabhimani Party to join the NDA, has compounded their problems in Konkan region.A source in Trinamool said, In politics, the enemys enemy is a friend. Sena and Trinamool talks should be perceived in that context. Mamata is emerging as the leader of the regional forces who are not very happy with the BJP.However, Trinamool leaders also have concerns about the Sena. A second-rung leader said,  You cannot fight a battle against the BJP when you are enjoying power with them in Centre (NDA) and Maharashtra. Trinamool Congress will have to face uncomfortable questions. Second, the Senas anti-minorities politics,. specially their drive against Bangladeshis, also has Trinamool leaders worried.A senior Trinamool functionary said: In West Bengal, we have a sizeable minority population, which will never not accept the Sena style of politics.However, a Sena leader said, Sena and Trinamool are not working to strike an electoral alliance. Sena has no base in Bengal nor Trinamool in Maharashtra. Their bonding is confined to anti-Modi policies and politics.",2/11/2017
3,"Hindu Yuva Vahini activists protest against RaGa RSS remarks on women. SURAT: Hindu Yuva Vahini members made posters of Congress president Sonia Gandhi and vice president Rahul Gandhi \ which showed them in shorts\ and also staged a protest in Udhna area of the city on Thursday evening. They sent these posters to Rahul address in New Delhi. They were protesting against Rahul comment on women in RSS. Hindu Yuva Vahini state unit president Narendra Chaudhary said, \We want to open the eyes of Rahul. Why is he so keen to see women in shorts? We have sent him some posters by couriers so that he can have a good look at them. Hindu Yuva Vahini was founded by Yogi Adityanath, who is now the chief minister of Uttar Pradesh. Yogi Adityanath is expected to visit Valsad, Navsari and Surat districts on Friday. He would be addressing a public meeting at Sachin in Surat district.",13/10/17
4,"RSS leader Ravinder Gosain shot dead in Ludhiana. LUDHIANA: A Ludhiana-based RSS leader Ravinder Gosain (60) was shot dead outside his house in Gagandeep Colony of Jodhewal area on Tuesday morning. The leader was pumped two bullets by motorcycle borne two masked assailants, in head and back and he died on spot.The deceased was the head of Mohan Shikha located in Amantran colony of Jodhewal. On Tuesday Gosain returned from Shakha around 7am and was sitting outside his house with two grandchildren when he was gunned down.The CCTV installed near the location has captured the assailants roaming around the area since 6:30am. They have also been captured fleeing after the incident in another CCTV. The assailants were on Honda Stunner bike of black-yellow color.Bike borne miscreants captured in CCTV.Gosain was associated with RSS since childhood and was an active member of Shakha.The zonal General Secretary RSS, Yash Giri said, ""This is the failure of police administration as earlier also the police have been failed to cracker previous cases of attacks on religious leaders.""He added, ""I have received a call from the Finance minister Arun Jaitley and he asked about the incident. All senior leaders are in touch with us.""The district president of BJP, Ravinder Arora said, ""To agitate against the failure of police the RSS and BJP leaders will protest outside the office of Commissioner of police, after cremation.""The Commissioner of police, RN Dhoke said, ""The police are exploring all angles in the case.""The Ludhiana police have also released the pictures of suspects, captured in CCTVs, on social media with contact numbers.The kin of deceased are clueless about the reason behind the killing as according to them Ravinder Gosain had never received any threat.",17/10/17
5,"Govt blinks but Asha workers to continue stir Vadodara: Gujarat government announcement of increasing salaries of Asha (Accredited Social Health Activist) workers by 50% on Tuesday came after over a month-long agitation launched by the health workers across the state. During the course of this agitation which included indefinite hunger strike, the agitated health workers have not only gheraoed BJP MLAs in Vadodara but also stormed BJP office in the city and allgedly threw bangles on Prime Minister Narendra Modi cavalcade when he was conducting a roadshow near VUDA circle in Vadodara on Sunday (October 22) evening.But the Contract and Fixed Salary Struggles Committee which has launched the state-wide agitation demanding equal pay and equal rights for Asha workers and facilitators has termed the state government announcement as merely a gimmick and an attempt to misguide and weaken their agitation in the poll-bound state. According to the committee office-bearers, there are currently 45,000 health workers in the state who are responsible for conducting all the health drives in the state. Each health worker on contract presently gets Rs 1,000 as salary every month. \We still dont know the exact amount which we will get after 50 % hike announced by the state government on Tuesday. But even if our salaries are hiked to Rs 2,000 per month, the health workers will continue to get only partial payments, said Chandrika Solanki, president of the women wing of the committee. \From Rs 1,000 per month, the government cuts Rs 200 if a Asha worker fails to attend \Mamta Divas\, Rs 150 if she does not meet medical officer, Rs 150 if she does not attend \gram sanjivani\ programme and Rs 100 if the Asha worker fails to share information with higher ups in the health department, she said. \We had demanded that all the health workers should get minimum Rs 5,000 to Rs 6,000 as fixed salary every month apart from incentives for conducting or taking part in health drives and surveys, she said.The committee has decided to continue its agitation to press for its demand including fixed maternity leaves, health insurance coverage and sick leaves, accidental insurance, fixed working hours and identity cards \ the benefits which are provided to permanent workers. \Our health workers are exposed to unhygienic working conditions and are expected to carry out malaria, swine flu and TB surveys. But there is no health protection that they themselves receive, she said. Ironically, while the state government announced that the salaries of Asha workers will be hiked, around 100 Asha workers in Vadodara were detained by the cops and kept in confinement at police community hall at Hazirabaug and crime branch office at Bhadra Kacheri while their mobile phones were also seized. While a group of around 50 health workers were detained by the cops on Tuesday morning when they sat outside collectorate office to continue their protest after they were not allowed to enter the collectorate. A group of another 50 health workers, who were protesting at Kothi crossroads by raising slogans against all BJP MLAs, MP, Gujarat chief minister Vijay Rupani and Prime Minister Narendra Modi, were detained on Tuesday afternoon. Vadodara district collector P Bharathi, however, said that she had only asked the agitators not to stage protests at the collectorate as it was obstructing work in the premises. \Last week, we also had a meeting with the chief district health officer and the officials of Vadodara Municipal Corporation. Since, it was a policy level decision, we had sent our report to the state government, she said.",24/10/17
6,Vadodara: Government employees on contract bring out rally VADODARA: Employees taken on contract for 11 months in various government departments held a rally in the city on Monday. They have been demanding an end to contractual employments and rights as well as emoluments equal to regular staffers.The employees taken on contract and daily wages have earlier submitted memorandums to the state government stating that they were being exploited. They have started an agitation under the banner \Fight for Right\.It was for the first time that the group brought out a rally in the city. The group has threatened to intensify the agitation if their demands are not met at the earliest. The group has also opposed the outsourcing of various tasks to agencies by the government.,27/3/17
7,"DMK, allies close ranks against AIADMK CHENNAI: In a homecoming of sorts, erstwhile allies, including DMK, MDMK, CPI, VCK and IUML, came together on the same dais in RK Nagar on Monday. The venue was a narrow street with cadres and supporters vying for vantage position to grab the moment.With all the party leaders campaigning for DMK candidate Marudhu Ganesh, the common chord that they struck was the plight of missing fishermen lost in the sea off Kanyakumari in the wake of Cyclone Ockhi. They urged their brethren in RK Nagar to defeat ‘ineffective’ AIADMK and pave the way for DMK working president M K Stalin to take charge as CM.Stalin, who spoke at the end of the meeting, said he had proof to show that an AIADMK MP was distributing tokens for the government’s subsidised scooter scheme which is to be launched shortly. “If the election commission refuses to take action, DMK will go to the streets to protest,” Stalin said.He said the AIADMK’s two leaves symbol was no threat to DMK. “In several elections, we have defeated the AIADMK. In the 2016 assembly elections, the AIADMK lost its deposit in some seats in Kanyakumari district. Thus we are not afraid of the symbol,” said Stalin.MDMK leader Vaiko, who recently extended an olive branch to Stalin, exhorted DMK cadres to campaign in all streets and bring home victory for their party. “It is for the DMK cadres, who are second to none to make Ganesh the victor. The victory in RK Nagar will pave the way for Stalin to sit in the chief minister’s chair,” said Vaiko, recalling his long association with DMK chief M Karunanidhi.“I never wanted to hurt any person or religion. There is a bid to link my speech with DMK’s prospects in RK Nagar. I make it clear that I am solely responsible for whatever I have said and DMK is no way connected to it,” said Thirumavalavan, referring to his December 6 speech on Lord Rama that raised BJP and some Hindu outfits’ hackles.“There is no history of an inspector becoming a sub-inspector and that can happen only in Tamil Nadu and only in AIADMK,” said CPI state secretary R Mutharasan, referring to erstwhile AIADMK rebel leader O Pannerselvam taking charge as deputy CM.Though leaders were upbeat about a DMK victory in RK Nagar, cadres did not seem so confident.“The demands of voters are very high. We are not sure that we can match them,” said M Munusamy, a DMK veteran from Tiruvottiyur.",12/11/2017
8,"Switch off cell: Anti-Aadhaar stir launched PUNE: Activists from Pune as well as across India have urged citizens to switch off their phones from 11am to 11.30am till December 11 to protest the forced linking of Aadhaar number with various services.The protest, which started on November 11, has gathered steam Pune with many asserting their right to be forgotten by the Aadhaar database. Pune-based activist and international advisor on governance of complex systems Anupam Saraf said that the movement has been active in Pune with many citizens staging silent protest against Aaadhaar. “This movement is basically to protest Aadhaar linkage and we are doing it for 30 days initially and then we will decide on the next course of action,’’ stated Saraf. He believes that no one should be coerced into linking Aaadhaar number with various services and it is time that government does a rethink on the same.",14/11/17
9,"Telangana: Adivasis demand exclusion of Lambadas from ST list Adivasis in Telangana are agitating, demanding the exclusion of Lambadas from the Scheduled Tribes list and alleging that they were cornering 90 per cent of the reservation in jobs and education.In neighbouring Andhra Pradesh too, ST associations started a protest Sunday against the TDP governments decision to include the Valmiki and Boya communities in the ST list.In April this year, the K Chandrashekar Rao government in Telangana introduced a Bill to increase the quota for STs from 6 per cent to 12 per cent. While the legislation has been passed by the Assembly, its implementation will require the Centres nod for its inclusion in Ninth Schedule of the Constitution.ST leaders are, however, saying that the communities wont benefit by the increase in quota unless Lambadas are excluded from the ST category.Adivasis, mainly from Adilabad and Kumaram Bheem Asifabad districts, held a large protest meeting at Saroornagar Stadium in Hyderabad on Saturday. This is the first time ST associations such as the Telangana Tudum Debba and Adivasi Association, Girijana Aikhya Vedika, Adivasi Hakkula Poratha Samiti, Adivasi Students Assocation and others came together to protest.STs comprise 9.3 per cent of Telanganas population, numbering about 31 lakh. Over a lakh members from Gond, Koya, Pardhan, Kollam, Naikpodu and Thoti tribes of Telangana and Andhra Pradesh took part in the protest on Saturday.The meeting was attended by several ruling TRS leaders from the ST community, who alleged that the majority of Lambadas in Telangana were migrants from Maharashtra and Karnataka, but were taking away a chunk of reservations in the ST category meant for local residents. There is anger in Adivasi communities over Lambadas, whom they dont consider as local residents. Tribals from remote areas are unable to compete with Lambadas who settle down in urban and semi-urban areas and take up jobs, Adilabad MP G Nagesh said.ST leaders alleged that a well-oiled racket in the village and mandal-level administration is helping Lambadas get domicile and local tribe certificates.Lambadas who have settled in Telangana in recent years are also eligible for ST quota. This is unfair. They come from outside Telangana, but are getting 90 per cent of the existing 6 per cent quota in jobs or education, said Kumaram Soni Rao, grandson of tribal freedom fighter Kumaram Bheem and an ST leader.The tension between tribals and Lambadas is simmering in predominantly tribal areas of Adilabad, Asifabad, Karimnagar and Warangal.Samaiah Dora, Girijana Aikhya Vedidas general secretary, accused Lambadas of cornering various government schemes. Originally there were 32 STs in Telangana and Andhra but the Lambadas were added to the list in 1976. We will take our demand to Delhi soon.",10/12/2017
10,"Trader killed, 2 other suffered bullet injuries in loot bid in Jaunpur VARANASI: A trader was killed while two other persons suffered bullet injuries when two motorcycle borne miscreants opened fire on them in a loot bid in the market of Mungardeeh village under Mungra Badshahpur area of Jaunpur district on Monday afternoon.Brave locals caught the shooters after giving chase and beat them brutally before setting their motorcycle ablaze. Police had to exercise hard to rescue the shooters from the angry mob of locals.According to reports, an insurance agent Sandeep Mishra of Jaipalpur runs his office for premium collection at Mungardeeh market. On Monday afternoon he was collecting premium from one Rakesh Maurya of Bhasot village the motorcycle borne miscreants raided the place and tried to loot the cash from Shukla. When Shukla and Maurya opposed their bid the miscreants opened indiscriminate fire on them. On seeing it a local trader Vinay Tiwari (30) tried to catch the shooters when they opened indiscriminate fire on him. On suffering bullet injuries on chest Tiwari died on the spot.The sound of firing led to chaos in the market. But, within few seconds the traders and local natives came on road and caught the shooters after chasing them up to some distance. The angry mob of local thrashed the miscreants and also set their motorcycle on fire. On getting information SO Mungra Badshahpur reached there with heavy police force. However, police had to exercise hard to rescue the shooters from the locals.Later, Shukla and Maurya were rushed to local hospital where the doctors referred them to Allahabad. Police took the injured shooters to district hospital. The SP Jaunpur KK Chawdhary said that police were trying to identify the miscreants also their criminal history. The body of Tiwari was sent for postmortem.",11/12/2017
