Sentence,Word,POS,NER
1,KOLKATA,NNP,LOCATION
1,:,:,O
1,Health,NNP,O
1,technology,NN,O
1,took,VBD,O
1,another,DT,O
1,significant,JJ,O
1,step,NN,O
1,in,IN,O
1,the,DT,O
1,city,NN,O
1,last,JJ,O
1,month,NN,O
1,.,.,O
2,A,DT,O
2,cardiac,JJ,O
2,surgery,NN,O
2,was,VBD,O
2,beamed,VBN,O
2,live,JJ,O
2,from,IN,O
2,a,DT,O
2,Kolkata,NNP,LOCATION
2,hospital,NN,O
2,to,TO,O
2,a,DT,O
2,medical,JJ,O
2,conference,NN,O
2,in,IN,O
2,New,NNP,LOCATION
2,Delhi,NNP,LOCATION
2,where,WRB,O
2,doctors,NNS,O
2,observed,VBD,O
2,the,DT,O
2,operation,NN,O
2,",",",",O
2,sought,VBD,O
2,clarifications,NNS,O
2,from,IN,O
2,those,DT,O
2,at,IN,O
2,the,DT,O
2,operation,NN,O
2,theatre,NN,O
2,and,CC,O
2,even,RB,O
2,guided,VBD,O
2,them,PRP,O
2,.,.,O
3,Experts,NNS,O
3,believe,VBP,O
3,this,DT,O
3,could,MD,O
3,pave,VB,O
3,the,DT,O
3,way,NN,O
3,for,IN,O
3,long,JJ,O
3,distance,NN,O
3,guidance,NN,O
3,for,IN,O
3,surgeons,NNS,O
3,seeking,VBG,O
3,assistance,NN,O
3,from,IN,O
3,experts,NNS,O
3,.,.,O
4,A,DT,O
4,coronary,JJ,O
4,angioplasty,NN,O
4,conducted,VBN,O
4,at,IN,O
4,the,DT,O
4,Narayana,NNP,LOCATION
4,Hrudalaya,NNP,LOCATION
4,Hospital,NNP,LOCATION
4,",",",",O
4,RTIICS,NNP,O
4,",",",",O
4,was,VBD,O
4,transmitted,VBN,O
4,live,JJ,O
4,to,TO,O
4,the,DT,O
4,annual,JJ,O
4,National,NNP,ORGANIZATION
4,Intervention,NNP,ORGANIZATION
4,Council,NNP,ORGANIZATION
4,(,(,O
4,NIC,NNP,ORGANIZATION
4,),),O
4,conference,NN,O
4,in,IN,O
4,Delhi,NNP,LOCATION
4,on,IN,O
4,March,NNP,O
4,29,CD,O
4,.,.,O
5,The,DT,O
5,NIC,NNP,ORGANIZATION
5,is,VBZ,O
5,a,DT,O
5,wing,NN,O
5,of,IN,O
5,the,DT,O
