ID,Title,Content,Intersection,Union
1,US extends anti dumping duty on mushrooms ,"NEW DELHI: The United States has extended the anti dumping duty on Indian preserved mushrooms for another five years. The move would impact domestic exporters as the US is a major export destination for India. Punjab, Haryana, Himachal Pradesh, and Jammu Kashmir are the major states which are producing the commodity. Solan in Himachal Pradesh is popular as 'Mushroom City of India'. The US International Trade Commission (USITC) has "" determined that revoking the existing anti dumping duty orders on preserved mushrooms from Chile, China, India, and Indonesia are likely to lead to continuation or recurrence of material injury within a reasonably foreseeable time. ""","Haryana, Punjab, Himachal Pradesh, India, Chile, Indonesia, China, Jammu Kashmir","US, NEW DELHI, Haryana, Punjab, Himachal Pradesh, India, United States, Chile, Indonesia, China, Jammu Kashmir, Solan"
2,Civic survey in Kaushambi after HC order ,"GHAZIABAD: Civic authorities and police conducted a survey of the Kaushambi area on Wednesday to ascertain the status of various public facilities and civic amenities. The survey was conducted by a team comprising officials of the Ghaziabad Municipal Corporation (GMC), the Ghaziabad Development Authority (GDA) and the Ghaziabad police, in accordance with an order of the Allahabad high court. A two judge bench of the high court, comprising Chief Justice DY Chandrachud and Justice Suneet Kumar, had on February 13 ordered the inspection of the public amenities while hearing a public interest litigation plea filed by residents under the banner of the Kaushambi Apartments' RWAs (KARWA). "" The municipal commissioner shall, together with a team of officials, conduct a personal inspection in co operation with the secretary of the petitioner. During the course of the inspection, the team of officials, including the Municipal Commissioner, shall be apprised of the exact grievances of the residents in order that suitable instructions can be issued for necessary remedial steps,"" said the order.",GHAZIABAD,"Ghaziabad, Kaushambi, Allahabad, GHAZIABAD, Kaushambi Apartments"
3,Diu: Disproportionate assets case against Diu municipal body chief ,"AHMEDABAD: The anti-corruption wing of CBI-Gandhinagar registered a case of disproportionate assets against president of Diu Municipal Council Hitesh Solanki and his wife Yashwanti Solanki. CBI sources said that income of Solanki was found to be 133.32% more than his known sources of income. The acquired disproportionate assets are worth Rs73,60,220. CBI conducted searches on the premises of the accused which led to recovery of incriminating documents. Hitesh Solanki, who became a councillor in 2006, is president of Diu Municipal Council since 2011. He lives with his and brother's families at Ghogla-Diu.","Diu, Gandhinagar, AHMEDABAD","Diu, Ghogla-Diu, AHMEDABAD, Gandhinagar"
4,"Good films make my day, says octogenarian film buff ","PANAJI: It s not 82 year old Kamla Patani's walking stick, but sheer determination that takes her ahead. A member of Prabhat Chitra Mandal, Mumbai, and a regular at Mumbai Academy of Moving Image (MAMI) festival and the Asian Film Festival, the film buff is attending Iffi in Goa for the second time. What's even more impressive is the fact that the grandmother of three took a train from Mumbai to Goa all on her own. I'm very fond of films and I know I won t get the opportunity to watch these films anywhere else, the retired social worker says, adding that one should not be conscious or have any fear while venturing out alone. Having lost her husband at a young age and moving to Mumbai thereafter where she raised her children against all odds, have taught her a thing or two about courage.","PANAJI, Mumbai","PANAJI, Mumbai, Goa"
5,No cheap power for Vid industries yet ,"Nagpur: The state government seems strangely unable to decide on the question of providing cheaper power to industries in backward regions of Vidarbha and Marathwada. The matter came up before the state cabinet on Tuesday at its meeting in Mumbai and a decision was deferred again. After deliberations, the cabinet decided to refer the matter to another sub committee headed by energy minister Chandrashekhar Bawankule to study the matter further and to recommend rates at which power would be supplied to industrial units in the two regions. Bawankule told TOI it was a positive development and a step towards fulfilling the government's promise of providing power at affordable rates to industries in the two regions. He said a committee headed by Nagpur divisional commissioner had prepared a report after studying situation in neighbouring Chhattisgarh where cheaper power rates were attracting investors even from Vidarbha.","Vidarbha, Marathwada, Nagpur","Vidarbha, Marathwada, Chhattisgarh, Nagpur, Mumbai"
6,Pak was born in a state of confusion: Hoodbhoy ,"HYDERABAD: Pakistan is a nation that was born in confusion, is still in confusion but will move out of it in the future hoped eminent nuclear physicist and author Pervez Hoodbhoy who has, for long, been a champion of the secular state notion. Though I know that it is not welcome in my country and people who deviate from the notion that it is an Islamic state, are looked upon disapprovingly, I strongly feel that what we need to head towards, Hoodbhoy reiterated. He was speaking at a session on Reimagining Pakistan, organised as part of the ongoing Hyderabad Literary Festival. The Pakistani scholar was joined by Venkat Dhulipala, a US based professor, historian and writer, on the dais. The conversation about a secular Pakistan, took both the authors back in history to the time of partition and Jinnah fight for a separate Muslim nation.","Pakistan, HYDERABAD","Pakistan, Hyderabad, HYDERABAD, US"
7,Provide information on corrupt officials: ACB ,"Bengaluru: Realizing that corruption cannot be prevented without effective public involvement, the Anti Corruption Bureau has launched a Facebook page and a website to seek people's participation. According to the site (http://acb.karnataka.gov.in), the complainant's identity will be kept confidential and the person will be rewarded by the ACB for tipoffs. The complaints, however, will have to be filed in writing. The site contains details such as office addresses and contact numbers of district ACB officials. The ACB also launched its Facebook page https://www.facebook.com/AntiCorruptionBureauKarnataka.",Bengaluru,Bengaluru
8,"Infant, thrown by aunt, critical ","KANPUR: On Tuesday, the doctors attending 18 day old baby boy, who was, on Monday allegedly thrown off the high rise hospital building, stated that the infant is still undergoing treatment at the ICU of the hospital. "" The next 24 hours are very crucial for the child. We are trying our best,"" said a senior doctor at Shyam Maternity and Childrens hospital in Kalyanpur. The baby was found entangles in iron net some 30 ft below the roof.","KANPUR, Kalyanpur","KANPUR, Kalyanpur"
9,Another student approaches Times Of India ,"NAGPUR: Following TOI report on a BCA student losing an academic year over delay in revaluation results, a final year student of KDK College of Engineering approached TOI saying he is unable to appear for campus recruitment because his revaluation results are yet to be declared. The student Aniket Naukarkar said, Today, a good company came for campus placements but I couldn t apply for it. No student with a live backlog paper is allowed to take part in campus recruitment drive in our college. I need the revaluation result as soon as possible to get a good job. I had failed in two subjects in my fifth semester.",NAGPUR,"NAGPUR, India "
10,M S University's Footprints X6 ends on a musical note ,"Vadodara: Curtains fell on the three day Footprints X6 with audience being enthralled with musical performance of singer Ash King. Sunday was a final day for all the activities under the banner of 'Technotron', 'Quest' and 'Concorenzza'. A number of technical activities and online events related to various engineering streams were held as part of the fiesta. Every year, budding engineers of MS University's Faculty of Technology and Engineering organize a series of technical and non technical events in Footprints, the national level technical festival. Rolling squares was the entertainment segment of Footprints that witnessed musical and comedy performances on the closing day.",Vadodara,Vadodara
11,Contemporary Malayalam fiction losing readers? ,"KOCHI: If the Kochi international book festival 2016 is an indicator, it can be said that readers have lost enthusiasm for contemporary Malayalam fiction. The disregard shown by new writers in depicting prevailing socio cultural and political realities of contemporary Kerala has resulted in a situation where readers are moving away from fiction, said organizers. We have been observing that most writers in Malayalam are not keen on contextualizing routine realities. Instead they place characters in alien cultures. When writers in other languages can portray life around them in a better way , why would someone read a Malayali's book?","KOCHI, Kochi","Kerala, KOCHI, Kochi"
